al-ṣan‘ah. shoghl. gharībat al-ḥusayn. tawshīḥ lābin sahil
5	laylun ‘ajīb	mā kān aḥlāh
5	ghāb al-raqīb	lā raddah al-lah
5	wajh al-ḥabīb	yā sa‘d man rāh

4	badr al-tamām	qad hayyaj ashjānī
5	yaqḍī huyām	lil‘āshiq al-fānī

al-ṣan‘ah. gharībat al-ḥusayn. tawshīḥ mjzū’ al-khufayf
9	ant ḥlá min al-muná	wamin al-mā’ a‘dhab
9	ant min kull ṭayyibin	ṭāb lilnnafs aṭyab
6	mā tará al-qalb yaltafit	‘an ḥadīthak wayu‘jab

6	qad maḍá al-‘umr wāistawá	min wulū‘ī wafikratī
9	yā munā’ī mā lī dawā	ilā waṣlak yā bughyatī

al-ṣan‘ah. gharībat al-ḥusayn. zajal
5	yā shādin al-uns	yā ftnt al-‘ushshāq	rifqan shawāy rifqan
5	yā mukhjil al-shams	jud bi-al-wiṣāl wāishfaq	nujaddid al-‘ishqā
5	qad jará bi-al-ams	ḥubbak min al-ashwāq	wabitt fī ḍayqā

4	yā nūr ‘aynay	wardak najnī
5	li’anniī ‘āshiq mafnī	yā bughyatī ḥaqqā

al-ṣan‘ah. gharībat al-ḥusayn. zajal
5	laylah unsī fīk yā laylan	kullak hanā	mā rīnā fīk lawlā
5	zahrī mafrūsh qiṭ‘ān tumlā	wāhl al-ghinā	bim‘ānī tatsalā
5	jud jud wāmlā walā tamlā	dhāk al-muná	ẓarīf wamā aḥlā

6	am kīf tadrī am kīf ta‘raf	fīmā aḥlā wamā aẓraf

4	lakin yā ḥibbī ḥattá ya‘ūd	widādī fīk ḥāṣil

al-ṣan‘ah. shoghl. gharībat al-ḥusayn. zajal
8	hadhā al-hawá ‘ashshash	wāskan ṣamīm ṣadrī
8	lā zilt anā naftsh	‘alayk yā badrī
8	qul lī ā‘lāsh wfāsh	ḥajbūk ‘an baṣarī

4	yā hl al-gharām	baḥrī mā yu‘ām

3	baḥrī ‘āyim	wal-‘dūl hāyim	wal-frḥ dāyim

8	yā rabbī wānṣur al-‘ushshāq	‘alá al-‘ādhilīn

