al-ṣan‘ah. ḥamdān. zajal
8	qalbī ‘āshiqun fī sayyid al-abrār	wal-nawm bārī
8	al-dam‘ min ‘aynay kāl’amṭār	‘alá khaddī jārī
8	matá akun lah min al-zūwār	armī jimārī
		
8	wānshāhad maqām al-hādī al-imām
8	wanqūl yā rasūl al-lah yā khayr al-anām
0	‘alayk al-salām
		
al-ṣan‘ah. shoghl. raml al-māyah. qaṣīdah. ṭawīl
32	wamin dhalik al-wādī ta‘aṭṭart yā ṣabā
32	ará kull mushtāqin ilá al-miṣr qad ṣabā
		
32	wakarrir ḥadīth al-bān inn ḥadīthah
		
28	tawshīh
		
32	yamurr ‘alá sam‘ī ladhīdhan wamuṭribā
		
al-ṣan‘ah. shoghl. ḥusayn. qaṣīdah. mjzū’ al-rajaz
60	tawshīh
		
22	al-lah yaf‘al mā yashā	al-lah yaf‘al mā yurīd
22	mā al-ḥukm ilā lil’ilāh	al-wāḥid al-frd al-majīd
22	ya‘fū al-ilah bifaḍlih	‘amman yashā’ min al-‘abīd
		
8	waman waqaf bibābih	yas’aluh ḥāshā yakhīb
22	‘asāh an yajūd lī	bizawratin ilá al-ḥabīb
		
al-ṣan‘ah. raml al-māyah. zajal
16	mā nurīd ghīr qurbak	fī al-qurb wal-bu‘d
8	yā muḥammad ḥubbak	lam yazal ‘an qalbī
		
8	nurīd wal-lah narāk	tanṭafá niyarānī
8	innay wal-lah ahwāk	yā ḍay ā‘yānī
8	yā malīḥ yā mabrūr	ant huw sulṭānī
		
16	yā malīḥ al-asmā	yā qāmah ghuṣn al-bān
8	yā shafī‘ fī al-ummah	bik qalbī walhān
		
al-ṣan‘ah. shoghl. ḥusayn. tawshīḥ muḍāri‘ lilḥalbī
26	ṣallūā ‘alá al-hādī	ṣallūā ‘alayh shawqā
26	‘izzī wa’irshādī	al-muṣṭafá ḥaqqā
26	huw ghāyah mrādī	min ḥawḍih nusqā
		
16	yawm yakūn al-nās	fī shiddat al-ḍayqā
26	wayunādūā yā aḥmad	yā shāfi‘ al-khalqā
		
al-ṣan‘ah. raml al-māyah. qaṣīdah. basīṭ
8	waman takun birasūl al-lah nṣrtuh
8	in talqah al-usd fī ājāmihā tajim
		
8	man ya‘taṣim bik yā khayr al-wará sharafan
8	al-lah ḥāfiẓuh min kull muntaqim
