	tawshīt al-mīzān
al-ṣan‘ah. ṣīkah. qaṣīdah. kāmil
12	qamarun takāmal fī nihāyah sa‘dih	yaḥkī al-qaḍīb ‘alá rashāqah qaddih
12	al-badr yaṭlu‘ min ḍiyā’ jabīnih	wal-shams taghrub fī shaqā’iq khaddih
9	malak al-jamāl bi’asrih faka’annamā	ḥusn al-barīyah kullihā min ‘ndih

6	wamuhafhafin qāl al-lah liḥusnih	kun fitnatan lil‘āshiqīn fakān
12	za‘am al-banafsaj annah ka‘idhārih	ḥasadan fasall min qafāh lisānā


al-ṣan‘ah. ṣīkah. tawshīḥ mjzū’ al-raml
9	ḥubbukum mazzaq fu’ādī	wasakan qalbī hawākum
9	min gharāmī wawidādī	lam nazal naṭlub riḍākum
6	antum ghāyah mrādī	‘ālijūnī bidawākum

6	antum wal-lah antum	fī al-qulūb kālshshahd aḥlá
9	in samaḥtum aw ‘afawtum	antum liljūd hlan

al-ṣan‘ah. gharībat al-ḥusayn. zajal
12	ḥibbī mā āḥlāh	al-malīḥ subḥān man zānuh
12	ẓarīf tayyāh	‘awḍuh mā kān fī āzmānuh
8	kam lī nahwāh	wahw zāyid fī tīhānuh


al-ṣan‘ah. gharībah ḥusayn. malḥūn
	law kān shawqī kīf ād‘ānī ād‘āk	lakān ṭarfuk dāym yar‘ānī
	anā na‘āyan yakmal sa‘dī m‘āk	wānt t‘āyan yanqaṣ bal‘ānī
	ḥubb al-ḥabīb ‘dhāb	lilqalb lā rāḥatun fīh
	lawlā dumū‘ al-āhdāb	mā kān mā yaṭfīh
	al-nākir al-kadhdhāb	yaẓhar walaw yukhfīh
	amā khfīt wāiẓhar fī hwāh	wmānhīt ‘an dhikr lsānī
	mā īfīdnī ghīr ī‘ālajnī badwāh	sā‘atun huw bālsaqām āksānī
	shar‘ak ḥākam bi-al-jūr	wāistaktharat al-ūzār
	min ‘ādat al-mahjūr	shalālahā miqdār
	idhā taḥaqqaq ḥālī mā khfāk	yazūr walā yuzār
	hal yā turá yanjalī ‘annī ājfāk	wa’idhā taṣaddaq takfīk āymānī
	yā ftnt al-nussāk	hal yā tará yas‘ad bk zmānī
	saltak biman nshāk	khalkhalt lī nuskī
	hadhā al-hawá ḍaḥḥāk	ṣgh limā nashkī
	ammā jrāū qlū‘ jfūnī warāk	mā fīh mā naḥkī
	idhā nshūf ḥay al-bar walā narāk	wamā tahawwal bihā ṭūfānī
	thamm takhallī al-ryāḥ ājfānī

al-ṣan‘ah. gharībat al-ḥusayn. tawshīḥ mujtathth li’aḥmad bn al-ḥusn al-mawṣilī
6	bī man ḥawá al-ḥusn kullah	wafāq ghīd al-akillah
9	badr al-tmām al-muṣawwar	mā fīh naqṣ al-ahillah

9	fafar‘uh kālllayālī	wafarquh lilṣṣabāḥ
9	walaḥẓuh lilnniṣāl	waqadduh lilrrmāḥ
9	warīquh lilzzulāl	wathaghruh lil’aqāḥ

6	falaw ra’á qays dallah	ansāh ḥusn al-madallah
9	walaw taghannāh ‘antar	salā maḥabbah ‘ablatin

al-ṣan‘ah. gharībat al-ḥusayn. qaṣīdah. khufayf
8	kull shay’in lah āintihā’un waḥaddun	ghayr shawqī ilayk mā lah ḥadd
8	badr tammin waḍaw’ fajrin washamsin	afalūā idh ghadā muḥayyāuk yabdū
8	qasaman bi-al-jabīn wal-khāl wālthagh	r al-ladhī fīh salsabīlun washahd

8	wabiḥaqq sanāk mā ant ilā	fī mlāḥ al-zamān fī al-ḥusn fard
8	kall ‘an waṣfik ṭalīq lisānī	yā ḥabībī walam azal bik ahdū

al-ṣan‘ah. shoghl. gharībat al-ḥusayn. tawshīḥ lābin sahil
5	laylun ‘ajīb	mā kān aḥlāh
5	ghāb al-raqīb	lā raddah al-lah
5	wajh al-ḥabīb	yā sa‘d man rāh

4	badr al-tamām	qad hayyaj ashjānī
5	yaqḍī huyām	lil‘āshiq al-fānī

al-ṣan‘ah. gharībat al-ḥusayn. tawshīḥ mjzū’ al-khufayf
9	ant ḥlá min al-muná	wamin al-mā’ a‘dhab
9	ant min kull ṭayyibin	ṭāb lilnnafs aṭyab
6	mā tará al-qalb yaltafit	‘an ḥadīthak wayu‘jab

6	qad maḍá al-‘umr wāistawá	min wulū‘ī wafikratī
9	yā munā’ī mā lī dawā	ilā waṣlak yā bughyatī

al-ṣan‘ah. gharībat al-ḥusayn. zajal
5	yā shādin al-uns	yā ftnt al-‘ushshāq	rifqan shawāy rifqan
