mu.1.1.1.s,291.0
mu.1.1.1.e,320.5
mu.1.1.2.s,322.5
mu.1.1.2.e,338.5
mu.1.2.1.s,387.0
mu.1.2.1.e,416.5
mu.1.2.2.s,418.5
mu.1.2.2.e,434.5
mu.2.1.1.s,435.0
mu.2.1.1.e,442.5
mu.2.1.2.s,444.0
mu.2.1.2.e,450.5
mu.2.1.2.s,451.0
mu.2.1.2.e,455.5
mu.2.2.1.s,477.0
mu.2.2.1.e,484.5
mu.2.2.2.s,486.0
mu.2.2.2.e,492.5
mu.2.2.2.s,493.0
mu.2.2.2.e,497.5
mu.2.3.1.s,498.0
mu.2.3.1.e,505.5
mu.2.3.2.s,507.0
mu.2.3.2.e,513.5
mu.2.3.2.s,514.0
mu.2.3.2.e,518.5
mu.2.4.1.s,519.0
mu.2.4.1.e,524.0
mu.2.4.2.s,524.5
mu.2.4.2.e,530.5
mu.2.5.1.s,543.0
mu.2.5.1.e,548.0
mu.2.5.2.s,548.5
mu.2.5.2.e,554.5
mu.2.6.1.s,567.0
mu.2.6.1.e,569.0
mu.2.6.2.s,569.5
mu.2.6.2.e,578.5
mu.2.7.1.s,579.0
mu.2.7.1.e,586.5
mu.2.7.2.s,588.0
mu.2.7.2.e,594.5
mu.2.7.2.s,595.0
mu.2.7.2.e,599.5
mu.2.8.1.s,621.0
mu.2.8.1.e,628.5
mu.2.8.2.s,630.0
mu.2.8.2.e,636.5
mu.2.8.2.s,637.0
mu.2.8.2.e,641.5
mu.2.9.1.s,642.0
mu.2.9.1.e,649.5
mu.2.9.2.s,651.0
mu.2.9.2.e,657.5
mu.2.9.2.s,658.0
mu.2.9.2.e,662.5
mu.3.1.1.s,663.5
mu.3.1.1.e,695.0
mu.3.1.2.s,747.5
mu.3.1.2.e,764.5
mu.3.2.1.s,885.5
mu.3.2.1.e,917.0
mu.3.2.2.s,969.5
mu.3.2.2.e,986.5
mu.4.1.1.s,996.5
mu.4.1.1.e,1004.5
mu.4.1.2.s,1005.5
mu.4.1.2.e,1010.5
mu.4.1.2.s,1011.5
mu.4.1.2.e,1016.5
mu.4.2.1.s,1038.5
mu.4.2.1.e,1046.5
mu.4.2.2.s,1047.5
mu.4.2.2.e,1052.5
mu.4.2.2.s,1053.5
mu.4.2.2.e,1058.5
mu.4.3.1.s,1080.5
mu.4.3.1.e,1088.5
mu.4.3.2.s,1089.5
mu.4.3.2.e,1094.5
mu.4.3.2.s,1095.5
mu.4.3.2.e,1100.5
mu.4.4.1.s,1101.5
mu.4.4.1.e,1109.5
mu.4.4.1.s,1119.5
mu.4.4.1.e,1127.5
mu.4.4.2.s,1128.5
mu.4.4.2.e,1133.5
