mbid,verse_name,poetry_form,t_s,t_e,score_s,score_e,mizan,orchestra,lyric
a451a7fc-c53f-462a-b3fc-4377bb588105,mu.3.2.1, ,825.5349916993482,842.986767808094,902.0,915.5,bṭāyḥī,/BrihiOrchestra,wa‘uj mirār
a451a7fc-c53f-462a-b3fc-4377bb588105,mu.3.2.2, ,842.986767808094,877.1536627260273,916.5,947.5,bṭāyḥī,/BrihiOrchestra,wahayyij al-sākin
a451a7fc-c53f-462a-b3fc-4377bb588105,mu.3.3.1, ,928.5054142933549,945.8423862737403,998.0,1011.5,bṭāyḥī,/BrihiOrchestra,ẓabī al-qifār
a451a7fc-c53f-462a-b3fc-4377bb588105,mu.3.3.2, ,945.8423862737403,962.8724042756236,1012.5,1027.5,bṭāyḥī,/BrihiOrchestra,bimuhjatī sākin
a451a7fc-c53f-462a-b3fc-4377bb588105,mu.3.4.1, ,962.8724042756236,980.3306138223054,1028.5,1043.5,bṭāyḥī,/BrihiOrchestra,badr al-tamām
a451a7fc-c53f-462a-b3fc-4377bb588105,mu.3.4.2, ,997.3457223726006,1014.9251694855787,1060.5,1075.5,bṭāyḥī,/BrihiOrchestra,qad hayyaj ashjānī
a451a7fc-c53f-462a-b3fc-4377bb588105,mu.3.5.1, ,1014.9251694855787,1032.1866132312282,1078.5,1091.5,bṭāyḥī,/BrihiOrchestra,yaqḍī huyām
a451a7fc-c53f-462a-b3fc-4377bb588105,mu.3.5.2, ,1032.1866132312282,1066.5340778110199,1092.5,1123.5,bṭāyḥī,/BrihiOrchestra,lil‘āshiq al-fānī
a451a7fc-c53f-462a-b3fc-4377bb588105,mu.4.1.1, ,1066.5340778110199,1101.1468721891836,1124.5,1155.5,bṭāyḥī,/BrihiOrchestra,yā ṭl‘t al-badr al-akmal
a451a7fc-c53f-462a-b3fc-4377bb588105,mu.4.1.2, ,1101.1468721891836,1169.7857985165076,1156.5,1219.5,bṭāyḥī,/BrihiOrchestra,yā shams ba‘d al-ghamām
a451a7fc-c53f-462a-b3fc-4377bb588105,mu.4.2.1, ,1274.513916441726,1310.4017281220804,1316.5,1347.5,bṭāyḥī,/BrihiOrchestra,al-bu‘d mā ṭiqt aḥmil
a451a7fc-c53f-462a-b3fc-4377bb588105,mu.4.2.2, ,1310.4017281220804,1378.70417948238,1348.5,1411.5,bṭāyḥī,/BrihiOrchestra,min law‘atī wagharāmī
a451a7fc-c53f-462a-b3fc-4377bb588105,mu.4.3.1, ,1481.5464543104138,1516.4628734037774,1508.5,1539.5,bṭāyḥī,/BrihiOrchestra,kam yalī aktub wa’ursil
a451a7fc-c53f-462a-b3fc-4377bb588105,mu.4.3.2, ,1516.4628734037774,1551.1552458562,1540.5,1571.0,bṭāyḥī,/BrihiOrchestra,‘asá tarudd slāmī
a451a7fc-c53f-462a-b3fc-4377bb588105,mu.4.4.1, ,1551.1552458562,1588.0114660103063,1571.5,1606.0,bṭāyḥī,/BrihiOrchestra,in ṭāl ‘alay bi‘āduk
