الصنعة 1 . شغل ـ ماية . قصيدة . خفيف					
0	العَشِيَّة إِلَى الغُرُوبِ تَمِيلُ	مِثْلَ وَجْهٍ تَبَدَّى وَهْوَ جَمِيلُ			
0	وَالطُّيُورْ عَلَى الغُصُونِ تُحَاكِي	لِجَوَارٍ غَنَّتْ لَهَا تَرْتِيلُ			
					
الصنعة 2 . شغل ـ ماية . قصيدة . كامل					
0	وَعَشِيَّةٍ لازِلْتُ أَرْقُبُ وَقْتَهَا	قَدْ بَشَّرَتْ بِوِصَالِهَا قَلْبِي المُحْرَقِ			
0	وَالشَّمْسُ مِنْ تَحْتِ السَّحَابِ كَأَنَّهَا	ذَهَبٌ تَقَلَّبَ فِي قَمِيصٍ أَزْرَقِ			
					
الصنعة 9 . شغل ـ ماية . رجز					
36	عَشِيَّةٌ كَأَنَّهَا عِقْيَانُ	لَوْنُ الذَّهَبْ فِي دَوْحَةِ البُسْتَانْ			
36	وَشَادِنٌ يَسْبِي الوَرَى بِحُسْنِهِ	إِذَا مَشَى أَثْنَى عَلَيْهِ البَانْ			
					
الصنعة 3  . ماية . زجل					
0	قَلْبِي الكَئِيبُ ذَائِبْ	وَالجِسْمُ كَالخَيَالْ			
0	يَا جُمْلَةَ الحَبَائِبْ	هَلْ يَعُودُ الوِصَالْ			
					
0	كَيْفَ العُقُولُ تَبْقَى	وَالزَّهْرُ فِي القَضِيبْ			
0	وَالنَّهْرُ سَاحَ شَوْقًا	فِي جَرْيِهِ العَجِيبْ			
0	وَالطَّيْرُ قَدْ تَرَقَّى	فِي الغُصْنِ كَالخَطِيبْ			
					
0	أُمُّ الحَسَنْ تُجَاوِبْ	مُضْنَى الفُؤَادْ وَقَالْ			
0	يَا جُمْلَةَ الحَبَائِبْ	هَلْ يَعُودُ الوِصَالْ			
					
الصنعة 4 . ماية . توشيح مشطور الرمل لنزهون الغرناطية					
7	قُلْتُ لَمَّا زَارَنِي طَيْفُ الخَيَالْ	مِنْ رَشَا الأُنْسِ			
7	مَرْحَبًا بِزَائِرِي بَدْرِ الكَمَالْ	مُخْجِلِ الشَّمْسِ			
7	وَالَّذِي أَنْشَاكَ مِنْ مَاءِ الزُّلالْ	وَاحِدَ العَصْرِ			
					
10	مَا بَرَى جِسْمِي وَلا غَيَّرَنِي	خَوْفَ هِجْرَانِ			
7	خَلَّفَ الصَّبَّ عَلَى جَمْرِ اللَّظَى	وَهْوَ فِي شَانِ			
					
الصنعة  . تخليل ـ صيكة . قصيدة. بسيط					
0	جَاءَ الحَبِيبُ الَّذِي أَهْوَى مِنَ السَّفَرِ	وَالشَّمْسُ قَدْ أَثَرَتْ فِي خَدِّهِ أَثَرَا			
0	فَقُلْتُ يَا عَجَبًا الشَّمْسُ بِالقَمَرِ	وَالشَّمْسُ لا يَنْبَغِي أَنْ تُدْرِكَ القَمَرَ			
					
					
الصنعة  . شغل ـ ماية . زجل					
0	توشية				
					
0	قُلْتُ يَا عَشِيَّا	آشْ هَذَا النُّحُولْ	مِثْلَ السُّيُولْ	مَهْلًا شَوَايْ مَهْلا	
0	نَتَنَزَّهُ	فِي هَذَا الخُمُولْ	يَسْبِي العُقُولْ	كِيفْ رَصَّعُه المَوْلَى	
0	قَالَتْ يَلِي	مَعِي مَا نَقُولْ	جَانِي الرَّسُولْ	وْكْسِيتْ لُه ذِي الحُلا  	
					
0	مِنْهَا اكْتَسَى جِسْمِي السَّقَمْ	لَكِن آشْ بِيدِي مَا نَعْمَلْ			
					
0	لَكِنْ قَضَى	رَبُّ الأَنَامْ	مُحْيِي العِظَامْ	أَلا يَدُومَ الحَالْ	
					
موال					
0	شَمسٌ مَتى سَطَعَت في عَقلِ شارِبِها	يَصيرُ ذاتاً لَها الأَكوانُ أَسماءُ			
0	تهزُّ بِالرَقصِ مِن أَعطافِهِ فَرَحاً	أَيّامُهُ أَبَداً بِالراحِ خَضراءُ			
					
الصنعة 25  . صيكة . زجل					
0	شَمْسُ العَشِي لَبْسَتْ نُحُولْ	قَبْلَ الأُفُولْ	أَنْبَأَتْ بِالسُّلْوَانْ		
0	الدَّهْرُ بِهَا يَصُولْ	وَهْوَ يَقُولْ	ذَهْبَتْ جَمِيعُ الأَحْزَانْ		
0	أَهْلُ الجَمَالْ لا تَزُولْ	تَسْبِي العُقُولْ	كَأَنَّهُمْ غِزْلانْ		
0	مَا بَيْنْ مَحَافِلْ ظِرَافْ	وَانْفُسْ لِطَافْ	فِي وَادِي فَاسْ جُلاسْ		
0	وَلَيْسَ فِيهِمْ خِلافْ	سِوَى العَفَافْ	زَهْوُ الغِنَا وَالكَاسْ		
					
الصنعة 26 . ماية . زجل					
5	أَعْظَمْ يَا عَشْيَّا	حَتَّى تَفْتَخِرْ بِكْ المَنَازِلْ			
5	لَكْ حُلَّة بَهْيَّا	بِهَا طَرَّزْتِ جَمْعَ المَحَافِلْ			
5	وَسَاقِي الحُمَيَّا	يَسْقِي بِالسُّرُورْ مَنْ كَانَ غَافِلْ			
					
11	فِي وَادِي الجَوَاهِرْ    	وَأَهْلْ الجَمَالْ تَعْرِضْ عَلَيَّا			
5	تَحْكِيهِمْ أَزَاهِرْ	لَبْسُوا مِنْ ثِيَّابِ العَبْقَرِيَّا			
					
الصنعة 27 . صيكة . زجل					
5	شَمْسُ العَشِي قَدْ غَرَّبَتْ	وَاسْتَغْرَبَتْ	عَيْنِي مِنَ الفُرْقَه		
5	عَلَى الشَّفَقْ سَطَّرَتْ	حِينْ غُيِّبَتْ	زَادَ العَشِيقْ شَوْقَا		
5	حَتَّى الطُّيُورْ قَدْ غَرَّدَتْ	وَتَرَنَّمَتْ	تُرْثِي عَلَى الوَرْقَه		
5	جَاوَبْتُهَا بِالاِشْتِهَارْ 	قِفْ نَعْتَبَرْ	بِاللَّهْ عَلَيْكْ مَهْلا		
5	قَالَ المَلِيحْ زَيْنُ الصِّغَارْ	فُزْ بِالنَّظَرْ	كُبَّ المُدَامْ وَامْلا		
					
الصنعة 28 . ماية . زجل					
5	يَا شَمْسَ العَشِيَّا	أَمْهِلْ لا تَغِبْ بِاللَّهِ رِفْقَا			
5	هَيَّجْتِ مَا بِيَّا	حَتَّى زِدْتِنِي فِي القَلْبِ شَوْقَا			
