الصنعة 1 . شغل ـ ماية . قصيدة . خفيف					
5	تَرَفَّقْ عَلَيَّا	إِنِّي فِي المَلِيحْ قَدْ زِدْتُ عِشْقَا			
					
11	فِي وَادِي المُذَهَّبْ    	وَوَجْهُ المَلِيحْ مِثْلَ الثُّرَيَّا			
5	وَالسَّاقِي المُؤَدَّبْ	يَسْقِي بِأَوَانِي البُنْدُقِيَّا			
					
الصنعة 29 . ماية . زجل					
8	صَفِّفُوا القِطْعَانْ وَزِيدُوا	نَغْنَمُ هَاذْ العَشِيَّه			
8	كُلُّنَا كَأْسُه بِيَدُه	يَغْتَنِمْ سَاعَة هَنِيَّه			
8	وَالمَلِيحْ قَلْبِي يُرِيدُه	يَنْشَرِحْ بَيْنَ يَدَيَّا			
					
4	وَالقَطِيعْ بَيْنِي وَبَيْنُه	وَالعِيدَانْ تَصْنَعْ تَوَاشِي			
8	قَرِّبُوا حِبِّي إِلَيَّ	وَاعْطِفُوا عَطْفَ الحَوَاشِي			
					
الصنعة 30 . شغل ـ صيكة . قصيدة . مجزوء الخفيف					
48	توشية				
					
27	أَنَا كُلِّي  مِلْكٌ  لَكُمْ	سَادَتِي أُنْتُمُ لِمَنْ			
0	أَنَا عَبْدٌ شَتَرَيْتُمُونِي	رَخِيصًا بِلا ثَمَنْ			
0	أَبْرَزُوا وَجْهَهُ الجَمِيلْ	ثُمَّ نَادُوا لِلاِمْتِحَانْ			
27	حِينْ أَرَادُوا فِتْنَتِي	قَرَّبُوا ذَاكَ الحَسَنْ			
					
الصنعة   . شغل ـ ماية . توشيح					
0	شَمْسُ العَشِيَّة رَوْنَقَتْ	جَمْعَ الكَتَائِبْ وَالبِطَاحْ			
0	عَلَى الغُصُونِ أَشْرَقَتْ	وَزُيِّنَتْ بِهَا اللِّقَاحْ			
0	وَبِالغَلَسِ بَشَّرَتْ	آهٍ عَلَى قَلْبِي الجِرَاحْ			
					
0	تَوَشَّحَتْ بِالاِصْفِرَارْ  	حِينْ غُيِّبَتْ عَنْ مُقْلَتِي			
0	وَمَنْ هَوِيتْ ظَبْيُ النِّفَارْ	عَوَّلْ يَا صَاحْ عَنْ فُرْقَتِي			
					
الصنعة  . شغل ـ صيكة . زجل					
0	يَا شَمْسَ العَشِيَّه	وَدَّعْتُكِ لِلَّهْ			
0	بِالوَاجِبْ عَلَيَّ	أَسْتَغْفِرُ اللَّهْ			
