الصنعة 1 . شغل - ماية . توشيح مخلع البسيط				
4	اُنْظُرْ إِلَى رَوْنَقِ العَشِيَّه	كَسَتْ بِحُلَّة عَلَى الغُرُوسْ		
8	بِاللَّهِ يَا سَاقِي الحُمَيَّه	أَدِرْ عَلَيْنَا خَمْرَةَ الكُؤُوسْ		
				
8	دَعُونِي نَغْنَمْ سَاعَة هَنِيَّه	مَا دُمْتُ فِي وَقْتِ الأَصِيلْ		
8	وَحِبِّي زَارْ وَاعْطَفْ عَلَيَّ	مَا لِلرَّقِيبْ عَلَيَّ سَبِيلْ		
8	سَقَانِي مِنْ فِيهِ الحُمَيَّه	مَوْلَى الدِّيبَاجْ وَالطَّرْفِ الكَحِيلْ		
8	اشْرَبْ وَغَنَّى وَمَالْ إِلَيَّ	وَذَبُلَتْ عَيْنَاهُ النُّعُوسْ	
8	قَبَّلْتُهُ قُبْلَة بِلا خَفِيَّه	وَقُلْتُ يَا رَاحَّةَ النُّفُوسْ	
				
الصنعة 2 . شغل - ماية . توشيح مجزوء الرمل				
32	العَشِيَّة أَقْبَلَتْ بِالاِصْفِرَارْ	وَكَسَتْ أَلْوَانُهَا تِلْكَ الثِّمَارْ		
				
8	يَا لَهَا مِنْ حُلَّةٍ فَوْقَ الغُصُونْ			
8	تُورِثُ الأَحْشَاءَ  مِنْ سِحْرِ الجُفُونْ			
8	وَعَلَيْهَا رَوْنَقٌ يَفْنِي فُنُونْ			
				
32	كُلَّمَا بَدَا سَقِيطُ الجُلَّنَارْ	شِمْتُ مِنْ إِبْرِيزِهَا لَقْطَ العَرَرَ		
				
الصنعة 3 . شغل - ماية . توشيح مخلع البسيط لابن يخلفتن الفازازي				
35	بَاكِرْ إِلَى شَادِنٍ وَكَأْسٍ	فَالوَجْدُ عَقَارُهُ العُقَارْ		
28	وَاشْرَبْ عَلَى وَرْدَةٍ وَآسٍ	لَكِنْ مِنَ الخَدِّ وَالعِذَارْ		
				
28	يَا صَاحِ كَمْ ذَا أَرَاكَ صَاحِ	عَنْ نَشْوَةِ الحُبِّ وَالمُدَامْ		
28	أَمَا تَرَى جَدْوَلَ الصَّبَاحِ	سَطَا عَلَى عَسْكَرِ الظَّلامْ		
28	وَقَدْ بَدَا مَبْسَمُ الأَقَاحِ	لَمَّا بَكَتْ مُقْلَةُ الغَمَامْ		
				
35	وَالطَّيْرُ نَبَّهْ مِنَ النُّعَاسِ	يَشْدُو ارْتِيَاحًا لِلنَّهَارْ		
28	وَالرَّوْضُ يَخْتَالُ فِي اللِّبَاسِ	بَيْنَ بَهَارْ وَجُلَّنَارْ		
				
الصنعة 4 . شغل - ماية . زجل				
20	الزَّهْرُ يَتْبَسَّمْ	مَا بَيْنَ النُّحُورْ	وَإِذَا تَنَظَّمْ	الذًّرُّ مَا يُلْقِيهْ
