	tawshīt al-mīzān
al-ṣan‘ah. shoghl. raṣdun waḥiṣār. tawshīḥ lābin sahil
21	adirhā īrād	bint al-ghamām	shaqqat kamām	zahr al-mudām	‘an zahr al-ward

6	man lī bi’ahyaf	kālghuṣn al-raṭb al-maṭlūl
6	zārnā waṭāf	kālṣṣārim al-‘aḍb al-maṣqūl
6	wasall mirhaf	yaqḍī ‘alá al-ṣabb al-maqtūl

21	faṣād al-asad	minh ḥusām	yaqḍī huyām	dhā al-humām	wahw fī aghmad

al-ṣan‘ah. raṣad. zajal
6	abshir bi-al-hanā yā qalbī wāifraḥ	zārnī man hawiyat wafá bi‘ahdī
6	mā rīt fī al-milāḥ abhá wa’asmaḥ	hanniwnī laqad balaght qaṣdī
6	nabqá kull yawm numsī wanuṣbiḥ	wānjaddad ‘uhūd nankī al-a‘ādī

4	wānjaddad surūr ma‘ al-mawālī	bāsh nankī al-ḥasūd wanḍall sālī
6	qalbī wal-ḥashā ‘alá lahībuh	waman ẓann shay’ al-lah ḥasībuh

al-ṣan‘ah. raṣad. zajal
5	al-lah yā rabbī	ẓabīan na‘shaquh	mā aktharuh tayyāh
5	khuliq lita‘bī	mahmā narmaquh	yaḥnī shifāruh ḥīn narāh
5	yaqūl lī qalbī	qum ‘ānaquh	‘indamā talqāh

4	al-qamar fī mawḍi‘uh	wal-nujūm ma‘uh
5	kān qalbī hānī	wal-yawm ṣadda‘uh

inshād
	suhāduy wadhillay wāikti’ābay walū‘atī	wawajduy wasuqmay wāiḍṭirāray wāidma‘ī
	wahajarān awṭānī wafuriṭ tawalluhay	washaddah āḥrāq al-ḥashā watafajju‘ay


al-ṣan‘ah. raṣad. zajal
7	mna‘ ruqādī	man kunt ar‘á al-dimām
7	lāsh yā suhādī	ḥarramt ‘an ‘aynay al-manām
7	ammā fu’ādī	maḥrūq binār al-gharām

4	yā qalbī wāṣbir
	la‘allak taẓfar

al-ṣan‘ah. raṣad. zajal
4	yā qalbī taṣabbar	wathabbit yaqīnak
4	lā tams mukaddar	wānṣīḥ min anīnak
4	kull shay’ muqaddar	maktūb fī jabīnak

4	lāmūā fī hawāhum	mā ḥannūā ‘alayyā
4	wanaṭlub riḍāhum	fī sā‘ah hanīyā

al-ṣan‘ah. raṣad. zajal
4	mā ladhdhat al-furjā	ilā majālis al-ṣighār
4	wal-khamr bi-al-muhjā	bayn al-maḥāfil wal-niwār
4	wal-ṭuyūr ‘ujjā	yujāwibūā naghmat al-awtār

6	yā man yalūmnī ‘alá ḥibbī laqad khasir
	anā ghazālī shabīh al-shams wal-qmr

al-ṣan‘ah. raṣad. zajal llshshtrī
8	yā ‘ajbī fīman yakun ya‘shaq	wayafshī lil‘ibād sirruh
8	hadhāk miskīn yūṣaf aḥmaq	waẓannī mā yakhtalif amruh
8	wānā jismī faná waraqq	waḥibbī lam ajid ghayruh

4	tajidnī ‘indamā yudhkar	watash‘al fiī al-qalb niyarānuh
8	man yahwá al-malīḥ yaṣbar	‘alá ṣadduh wahijrānuh

al-ṣan‘ah. shoghl. raṣad. qaṣīdah. mujtathth
13	lawlāk mā himt wajdā	walā ta‘ashshaqt najdā
13	walā marart birab‘in	ilā ja‘altuk qaṣdā
13	yā qātilī bi-al-tajannī	ij‘al lihajrik ḥaddā

4	nadhart yā ṣāḥ ‘ahdā	ṣiyām shahrin wa‘ashrin
13	yawm arāk yā ḥabībī	mā bayn saḥrī wanaḥrī

al-ṣan‘ah. raṣad. zajal
4	yā nadīmī āmlā lī kāsī	wakun sarī‘
4	inn al-mudām tujlī kbāsī	innay walī‘
4	qad atānā yā ā‘azz al-nās	faṣl al-rabī‘

al-ṣan‘ah. raṣad. zajal
4	fāḥ al-banafsaj fāḥ	wal-yāsamīn tubdī barā‘ā
4	qum naghnam al-afrāḥ	nudāwil ka’s al-raḍā‘ā

4	qum yā nadīm ‘awwil	ṣaffif ku’ūs al-khamr wāmlā
4	faṣl al-rabī‘ aqbal	muzayyin al-dunyā biḥulā
4	ghuzayyilī al-ajmal	mithl al-qaḍīb fī al-rawḍ yujlā

4	lah ‘uyūn wiqāḥ	tasbī al-‘ashīq min naẓrā sā‘ā
4	qum naghnam al-afrāḥ	nudāwil ka’s al-raḍā‘ā

al-ṣan‘ah. raṣad. zajal
5	iḥtakam fiyā wakhādhnī furṣā	wataraknī maftūn
5	anā ahwāh waqalbuh yaqṣá	‘aqlī ‘nduh marhūn
5	lam azal ahwá bāhī al-khurṣā	man yuḥākī al-ṭarshūn

4	ḥlw al-manṭaq	kālhilāl yashraq

5	al-ẓaraf wal-tīh qad ḥāzuh kulluh	al-milāḥ shahdat luh

al-ṣan‘ah. raṣad. zajal
5	ḥubbak yā amīr al-milāḥ	kharrajnī ‘an ḥaddī
5	ṣayyaranī aḥmuq nuṣāḥ	mimmā sabaq ‘inday
5	in kān hadhā ẓahar ṣalāḥ	hajruk yaṭūl wabu‘dī

11	yā fitnah lil‘āshiqīn	‘ishqak fī al-zaman waḥdak
5	nahwāk biṭūl ‘umrī	yā sulṭān al-aqmār

al-ṣan‘ah. raṣad. zajal
4	nahwá al-ḥājab al-ākḥal	wal-khadd jullanārī
4	yā man yalūm lā tajhal	da‘nī fī ‘ishqī jārī

4	da‘nī nahīm fī ḥubbuh	ḥattá yusakhkhir al-lh
4	ya‘ṭf ‘alay qalbuh	nankī al-‘adūl biru’yāh
4	innay āiltazamt qurbuh	anā wal-lh mā nansāh

4	ẓannī idhā nuqabbil	naṭfī lahīb jimārī
4	yā mun yalūm lā tajhal	da‘inī fī ‘ishqī jārī

al-ṣan‘ah. raṣad. zajal
6	in kān wiṣālak	‘alay ghālī	khudhnī wamālī
6	wāi‘ṭif ‘alay	ḥīn naltaqīk	bi-al-lah ‘alīk
6	ṣūrah jamālak	shaṭnat lī bālī	bilā muḥāl
	raghman ‘alay	ahdū al-an bik	zād ḥubbī fīk
	unshur ‘alāmak	fa’ant wal-ī	ḥuzt al-jamāl
	bushrá hanīyā	ant al-malik	lā shakk fīk

4	ḥubbk fatannī	nawmī afal
	wadam‘ ‘aynay	mithl al-wabīl

6	irḥam gharīmak	jud biwṣālī	walā tubālī
	wamā kadhā	yaf‘al al-kirām	man‘ al-salām

al-ṣan‘ah. raṣad. zajal
4	mā bayn mabsam thaghruh aḥlá	min al-‘atīq wirduh
4	bustān khadduh zhruh yujlá	janayt min warduh

al-ṣan‘ah. raṣad. zajal
6	yā ḥibbī mah amā tará	mā āḥlá al-layālī	layālī al-wṣāl
6	irḥam khuḍū‘ī	wamā qad jará lī	bisahr al-layālī
2	min nār al-ashwāq
2	‘ālajūā al-‘ushshāq
2	irḥamūā al-mushtāq

8	irḥamūā man dhāq al-hawá	waḥāluh kaḥālī	bisahr al-layālī

