14	tawshīt al-mīzān
al-ṣan‘ah. mashriqī. tawshīḥ mkhl‘ al-basīṭ
6	lak al-hanā wal-surūr dā’im	yā ayyuhā al-ṭāli‘ al-sa‘īd
9	al-dahr ṭaw‘an ladayk khādim	kamā tuḥibb wamā turīd

15	tahallal al-kawn wāstanār	wāibtahaj al-‘aysh wāizdahá
15	al-dīn qad shayyad al-manār	mu‘aẓẓaman wamunawwahā
15	wal-rizq yanbajis ānhimār	yarwī al-ṣadā yaftaḥ al-lahā

6	hadhā wathaghr al-zamān bāsim	‘an ashnab al-lu’lu’ al-naḍīd
9	īyāmunā kulluhā mawāsim	ṭurran wakull al-zamān ‘īd

al-ṣan‘ah. tkhlīl basīṭ. mashriqī. qaṣīdah. basīṭ
8	abshir laqad nilt mā tarjū watantaẓir	waqad jará bi-al-ladhī takhtāruh al-qadar
8	wasā‘adatk min al-īyām arba‘ah	al-‘izz wal-naṣr wal-tamkīn wal-ẓafar

al-ṣan‘ah. shoghl. mashriqī. tawshīḥ muḍāri‘
20	jamāluh yuhwá	hāmat bih al-arwāḥ
20	li’annah aqwá	‘alá al-ẓibā sulṭān
14	qad ṣaḥḥat ldda‘wá	lilqamar al-waḍḍāḥ

12	li’annah sulṭān	tahābuh al-amlāk
20	subḥān yā insān	man dhā al-ladhī a‘ṭāk

al-ṣan‘ah. shoghl. mashriqī. tawshīḥ mujtathth llshshtrī
13	qūlūā liman lays yadrī	al-ḥubb amrun ‘aẓīm
13	anā ḥabībī fī ṣadrī	fī wsṭ qalbī muqīm
8	mawlāy wāujbur lī kasrī	ant al-ghafūr al-raḥīm

10	aḥyānī ba‘damā afnānī	wāsqānī khamrun ‘atīq
13	ṣār jamī‘ man yarānī	yaqūl miskīn ‘ashīq



al-ṣan‘ah. mashriqī. zajal
10	al-shawq ‘allamnī al-sahar	ḥattá āshtahar	ḥubbī walam yakhfā
10	al-dam‘ min ‘aynay ānhamar	mithl al-maṭar	wanārī lam tuṭfā
10	idhā yajī’ waqt al-saḥar	tash‘al jimār	fī khāṭirī zulfā

8	qad ḥār fī ‘ishqī al-ṭabīb	mudh sārat al-rukbān

10	li’annanī arghab al-mujīb	an yastajīb	lil‘āshiq al-walhān

al-ṣan‘ah. birūālatin. mashriqī. malḥūn
14	yā nās al-hwá kīf n‘ml wsbab lī‘tī jānī	huw mā ṣbarshī ‘annī wānā ‘shīq ṣbbār
14	nmshī ldārhā bhdīyā la‘alā tkāfīnī	wtqūl marḥbā bḥbībī lyūm ‘ād lī zār
14	anā ghā al-ṭālb nqrā wālṭālbah tqarrīnī	tqbṭ lawḥtī bīdīhā tktb ḥusn āsh‘ār

inshād
	walammā faná ṣabiray waqull tajalluday	wafāraqanī nawmī waḥurrimat maḍja‘ay

al-ṣan‘ah. mashriqī. tawshīḥ
4	qad badā mā kunt ukhfīh	‘alá al-‘ādhil
4	fī hawá man jād bi-al-siḥr	‘alá bābil
4	aqṣir al-lawm ‘an ṣabbin	danifin nāḥil

8	yā rashā yakhtāl fī thawbin	min al-bahjah
4	famatá aqbalt yā ḥibbī	min al-jannah

al-ṣan‘ah. mashriqī. zajal
4	yā ḥlw al-kalām	in‘am lī wajud
4	al-jafā ḥarām	yakfīk al-ṣudūd
4	dāw al-mustahām	min rīqak wajud

4	rīqak yā ghazāl	rashfuh shifā
3	mā aḥlā al-wiṣāl	min ba‘d al-jafā

al-ṣan‘ah. shoghl. mashriqī. qaṣīdah. kāmil
24	tawshīh
50	yā māni‘an ‘an muqlatī ṭayf al-kará	rifqan biqalbī laqad rumī binbāl
50	yā turá arāk muwāṣilī ba‘d al-jafā	fī laylatin a‘udduhā min layāl

al-ṣan‘ah. mashriqī. zajal
60	tawshīh
12	ghaybatuk zādatnī ashwāq	wālmanām rītuh jafānī
12	lam yazal ṭab‘ī ruqayyaq	ḥattá ṣār bi-al-ḥubb fānī
8	lam nazal ṭūl ‘umrī na‘shaq	wal-malīḥ rītuh warānī

8	wal-maḥabbah bi-al-ma‘ānī	wal-milāḥ mā hum sawīyā
12	‘aynay waqalbī nashawnī	hum bi-ithnayn āttafqūā ‘alayyā

al-ṣan‘ah. shoghl. mashriqī. qaṣīdah. munsariḥ
54	litas’alann al-nasīm ‘an lamī	‘aynay bakat min firāqikum bidamī
54	anā al-qatīl waqātilī qamarun	lā wākhadh al-lah qātilī bidamī

al-ṣan‘ah. mashriqī. zajal
16	mā al-gharām ilā balīyā	a‘dhirūnī yā muqābil
16	ash‘alat nārun qawīyā	tarakat al-jism nāḥil
12	ḍayfunā shibh al-thurayyā	ḥubbuh fī al-qalb ḥāṣil

8	shafruh kālssayf yaqṭa‘	bi-al-sihām laqad ramānī
16	bi-al-wiṣāl lā zilt aṭma‘	ṭūl ‘umrī wazamānī

al-ṣan‘ah. mazmūm. qaṣīdah. mutaqārib lilkhubz aruzzay
16	ra’ayt al-hilāl wawajh al-ḥabīb	fakānā hilālayn ‘ind al-naẓar
16	falam adr ayyahumā qātilī	hilāl al-dujá am hilāl al-bashar
12	walawlā al-tawarrud fī al-wajnatayn	wamā rā‘anī min sawād al-sha‘ar

8	lakunt aẓunn al-hilāl al-ḥabīb	wakunt aẓunn al-ḥabīb al-qamar
16	fadhāk yaghīb wadhā lā yaghīb	wamā man yaghīb kaman qad ḥaḍar

