18	tawshīt al-mīzān
al-ṣan‘ah. istihlāl. tawshīḥ mkhl‘ al-basīṭ li’abī bikrun bn zahr
6	yā man lah aḥsan al-ṣifaāt	yā ghuṣn āsin wayā qamar
6	ghibt falam ya’t mink āt	fāistawḥash al-sam‘ wal-baṣar
4	lawlā al-ṣabā min tilk al-jihaāt	habbat ‘alaynā ma‘ al-saḥar

4	yā ayyuhā al-ṭāli‘ al-sa‘īd	jā’at bi’anbā’ik al-riyāḥ
6	inn al-ṣabā ‘ank akhbaratnī	fāihtazz rawḍ al-muná wafāḥ

al-ṣan‘ah. shoghl. . istihlāl. zajal
27	yā mawlāy wāqif libābik	‘ind qar‘ al-nūā’b
27	uṭlubnī tajidnī	‘ind shadd al-maṣā’ib

al-ṣan‘ah. istihlāl. zajal
3	i‘rif al-ladhī ya‘raf maqāmak
3	wa‘um fī al-qaṣīr shammir thīyābak
3	idhā jā’ak al-ḥabīb āiftaḥ luh bābak

9	al-uṣūl taṣūl	wakhall man qāl yaqūl

al-ṣan‘ah. istihlāl. zajal llshshtrī
4	bidhā al-ḥubb āin‘ammar qalbī	wamaḥbūbī ‘azīz sulṭān
4	taraknī fī al-hawá masbī	mā bayn al-ḥusn wal-iḥsān
4	walā ‘awwadanī ḥibbī	siwá al-ṣadd wal-hijrān

4	walakin āsh bīdī na‘mal	malīḥun kullamā yaṣna‘
4	fada‘h yahjur wānā naḥmil	walilṣṣabr al-jamīl narji‘

al-ṣan‘ah. shoghl. istihlāl. tawshīḥ muqtaḍab lābin sahil
20	jufūnī qādat ilá ḥaynī	wathārī ‘inday famā aṭlub
20	da‘ūnī aqtaṣṣ min jafnī	bisuhdī wa‘abratī askub

al-ṣan‘ah. shoghl. istihlāl. zajal
6	naddammam wanakhḍa‘	mā fāudnī khuḍū‘ī
6	wanamshī wanarja‘	na‘thar fī dumū‘ī
6	wabiālnnaẓrah naqna‘	min shiddah wulū‘ī

4	qaws al-ḥubb manṣūb	biqaṣd al-shārah
6	waman ‘aqluh manshūb	kīf yaqwá al-tijārah

al-ṣan‘ah. istihlāl. zajal
6	qalbī waṣadrī ilayk makān	ta‘lam hadhā ayā malīḥ
6	yā khadd yāqūt yā bahraamān	ishfaq ‘alá qalbī al-jarīḥ
4	‘ind al-wiṣāl āirkh al-‘inān	bālak takun shawāy shaḥīḥ

4	ishḥāl ‘alay min dhā al-nifār	ḥattá al-ṭarīq katanjalī
6	khall al-tajannī yā qamar	wāirḥam khuḍū‘ al-mubtalī

