14	tawshīt al-mīzān
al-ṣan‘ah. mashriqī. tawshīḥ mkhl‘ al-basīṭ
6	lak al-hanā wal-surūr dā’im	yā ayyuhā al-ṭāli‘ al-sa‘īd
9	al-dahr ṭaw‘an ladayk khādim	kamā tuḥibb wamā turīd

15	tahallal al-kawn wāstanār	wāibtahaj al-‘aysh wāizdahá
15	al-dīn qad shayyad al-manār	mu‘aẓẓaman wamunawwahā
15	wal-rizq yanbajis ānhimār	yarwī al-ṣadā yaftaḥ al-lahā

6	hadhā wathaghr al-zamān bāsim	‘an ashnab al-lu’lu’ al-naḍīd
9	īyāmunā kulluhā mawāsim	ṭurran wakull al-zamān ‘īd

al-ṣan‘ah. tkhlīl basīṭ. mashriqī. qaṣīdah. basīṭ
8	abshir laqad nilt mā tarjū watantaẓir	waqad jará bi-al-ladhī takhtāruh al-qadar
8	wasā‘adatk min al-īyām arba‘ah	al-‘izz wal-naṣr wal-tamkīn wal-ẓafar

al-ṣan‘ah. shoghl. mashriqī. tawshīḥ muḍāri‘
20	jamāluh yuhwá	hāmat bih al-arwāḥ
20	li’annah aqwá	‘alá al-ẓibā sulṭān
14	qad ṣaḥḥat ldda‘wá	lilqamar al-waḍḍāḥ

12	li’annah sulṭān	tahābuh al-amlāk
20	subḥān yā insān	man dhā al-ladhī a‘ṭāk

al-ṣan‘ah. mashriqī. zajal
10	al-shawq ‘allamnī al-sahar	ḥattá āshtahar	ḥubbī walam yakhfā
10	al-dam‘ min ‘aynay ānhamar	mithl al-maṭar	wanārī lam tuṭfā
10	idhā yajī’ waqt al-saḥar	tash‘al jimār	fī khāṭirī zulfā

8	qad ḥār fī ‘ishqī al-ṭabīb	mudh sārat al-rukbān

10	li’annanī arghab al-mujīb	an yastajīb	lil‘āshiq al-walhān

al-ṣan‘ah. shoghl. mashriqī. qaṣīdah. ṭawīl lil’mām al-shāfi‘ī
33	idhā lam yakun maḥḍ al-widād ṭabī‘atan	falā khayr fī wuddin yakūn takallufā
33	walā khayr fī khillin yakhūn khalīlah	wayubdiluh ba‘d al-maḥabbah bi-al-jafā

inshād
al-ṣan‘ah. mashriqī. zajal
4	yā ḥlw al-kalām	in‘am lī wajud
4	al-jafā ḥarām	yakfīk al-ṣudūd
4	dāw al-mustahām	min rīqak wajud

4	rīqak yā ghazāl	rashfuh shifā
3	mā aḥlā al-wiṣāl	min ba‘d al-jafā

al-ṣan‘ah. mashriqī. zajal
60	tawshīh
12	ghaybatuk zādatnī ashwāq	wālmanām rītuh jafānī
12	lam yazal ṭab‘ī ruqayyaq	ḥattá ṣār bi-al-ḥubb fānī
8	lam nazal ṭūl ‘umrī na‘shaq	wal-malīḥ rītuh warānī

8	wal-maḥabbah bi-al-ma‘ānī	wal-milāḥ mā hum sawīyā
12	‘aynay waqalbī nashawnī	hum bi-ithnayn āttafqūā ‘alayyā

al-ṣan‘ah. shoghl. mashriqī. zajal
12	yā muslimīn qalbī da‘ānī	āsh kān du‘āh	ḥattá sakan fīh al-gharām
12	khashf al-ẓibā laqad ramānī	ṭarf sanāh	‘all al-fu’ād bi-al-saqām
12	walā qawiyat namsak ‘inānī	ḥīn arāh	hāyim muhīn bayn al-anām

8	fahal lidā’ī min ṭabīb	la‘allah yubrī al-‘alīl

12	‘āshiq mutayyamun ka’īb	wajdun da‘āh	bayn al-anām ṣabbun qatīl

al-ṣan‘ah. mashriqī. zajal
16	mā al-gharām ilā balīyā	a‘dhirūnī yā muqābil
16	ash‘alat nārun qawīyā	tarakat al-jism nāḥil
12	ḍayfunā shibh al-thurayyā	ḥubbuh fī al-qalb ḥāṣil

8	shafruh kālssayf yaqṭa‘	bi-al-sihām laqad ramānī
16	bi-al-wiṣāl lā zilt aṭma‘	ṭūl ‘umrī wazamānī

al-ṣan‘ah. mashriqī. tawshīḥ
14	ay ẓabī ‘alá al-usd	qad saṭā bi-al-ghanaj
6	kān fī jannat al-khuld	li‘adhābī kharaj

6	ay qaddin lah ahyaf	idhā āinthaná yamīl
6	shārib al-rāḥ wal-qarqaf	rīquh salsabīl
6	wajhuh al-badr idh yashraq	junḥ laylin ṭawīl

14	mudh saqá bānat al-qadd	bimiyāh al-falaj
6	awraqat fī al-dujá al-ja‘d	wazahat bi-al-da‘aj

6	imlā yā fārij al-hamm	min qahwat al-kurūm
6	isqīnā bnāt al-karm	taḥt ḍay al-nujūm
6	fayyiḍ al-kās wada‘ lawmī	yā akhī lā talūm

14	min ṣuhaybah barat juhdī	ma‘ barq al-la‘aj
6	wal-‘idhār ‘alá al-khadd	nilt minh ḥaraj

al-ṣan‘ah. mashriqī. mutaqārib
16	ayā fāḍiḥ al-badr ‘ind al-tamām	fahal lak wāūun waṣādun walām
16	wahal lā ‘aṭaft ‘alá ‘āshiqin	yahīm biqāfin wabā’in walām
16	tamallakt ‘aqlī bithaghrin shanīb	warīqin ka‘aynin wasīnin walām

8	‘alá ‘adad al-qaṭr ḥubbī lakum	wa‘adad rā’in wamīmin walām
16	wahal yajma‘ al-dahr mā baynanā	fayanḍamm shīnun wamīmun walām

