al-ṣan‘ah. tkhlīl. istihlāl. basīṭ
12	āhin ‘alá sā‘atin jād al-zamān bihā	fa‘awwaḍat kull mā afnayt min ‘umurī
12	bāt al-ḥabīb nadīmī fī dujānātihā	ilá al-ṣabāḥ bilā khawfin walā ḥadhar

al-ṣan‘ah. shoghl. istihlāl. zajal
32	hanīyā yā qalbī al-‘alīl	aqbalat al-dunyā ‘alayk
32	al-frḥ dā’im muttaṣil	wa’ant fī abhá ḥulāk


al-ṣan‘ah. shoghl. istihlāl. qaṣīdah. wāfir
21	la‘all layālin salafat ta‘ūd
21	wayajma‘unā wa’īyākum al-su‘ūd
21	wanuqaṣṣir fī al-‘tāb idhā āiltaqaynā
21	wanatruk mā yusarr bih al-ḥasūd

al-ṣan‘ah. shoghl. istihlāl. zajal
14	yawm kunnā	fī makān rafī‘ julās anā wal-ḥabīb wal-kās
14	ijtama‘nā	jamī‘ al-raqīb wal-bās
14	ghāb ‘annā

8	zidt akthar	amran ‘alá amrī
14	kayf aṣbir	‘alá man sakan ṣadrī

al-ṣan‘ah. shoghl. istihlāl. qaṣīdah. munsariḥ lilmu‘tamid bn ‘ubbād
34	lillah sāqin muhafhafun ghanijun	qām yasqiyānī fajā’ bi-al-‘ajab
34	ahdá lanā min laṭīf ḥkmtih	fī jāmid al-mā’ dhā’ib al-dhahab

al-ṣan‘ah. istihlāl. tawshīḥ mashṭūr al-raml
5	marḥaban hlan wasahlan bi-al-ḥabīb	wāfī al-‘ahd
5	aqbalat afrāḥī wāinjalá al-raqīb	hām fī al-bu‘d
5	ayyuhā al-malīḥ innak arīb	ghāyat al-qaṣd

8	yakhdamnī naṣībī fīk yā ghazāl	ṭayyib al-af‘āl
5	wajab nashkur sā‘at al-wiṣāl	maḍat al-ahwāl

al-ṣan‘ah. istihlāl. tawshīḥ raml lābin sahil
12	man idhā umlī ‘alayh ḥuraqī	ṭaraḥatnī muqlatāh danifā
12	tarakat alḥāẓuh min ramaqī	athar al-naml ‘alá ṣamm al-ṣafā
9	wa’anā ashkuruh fīmā baqī	last alḥāh ‘alá mā atlafā

6	fahw ‘inday ‘ādilun in ẓalamā	wa‘adhūlī nuṭquh kālkhrs
12	lays lī fī al-amr ḥukmun ba‘damā	ḥall min nafsuy maḥall al-nafas

inshād
	akābad al-ashwāq liqātilī mūla‘an	wa’ashar man ba‘d ḥabīb al-layālī

al-ṣan‘ah. istihlāl. tawshīḥ
4	qad badā mā kunt ukhfīh	‘alá al-‘ādhil
4	fī hawá man jād bi-al-siḥr	‘alá bābil
4	aqṣir al-lawm ‘an ṣabbin	danifin nāḥil

8	yā rashā yakhtāl fī thawbin	min al-bahjah
8	famatá aqbalt yā ḥibbī	min al-jannah

al-ṣan‘ah. shoghl. istihlāl. zajal
12	rīmun ramatnī	bishām al-ḥadhaq
12	masakat ‘inānī	wahayyajat ḥuraqī
12	ka’annahā al-badr fī	dujá al-ghasaq

18	hayfā wayaḥkī	qawāmuhā al-bān
12	warīquhā mithl al-zulāl	mā aḥlāh

al-ṣan‘ah. istihlāl. zajal
12	katamt al-maḥabbah sinīn	wal-lah mā fāudnī āktitām
12	a‘ṭayt qulaybī rahīn	malaktah biṭūl al-dawām
8	wakunt ḥalaft yamīn	annak mā takhūn al-dhimām

8	zawwajnā al-hanā wal-surūr	kay ta‘lam jamī‘ al-wará
12	taḥduth ba‘d dhāk umūr	lā tas’al ‘alá mā jará

al-ṣan‘ah. istihlāl. zajal llshshtrī
25	anā al-ladhī mā lī sanīd	liman nu‘awwid qiṣṣatī
25	ḥattá baqiyat waḥdī farīd	ḥann al-ṭuyūr min ghurbatī
17	law kān jismī min ḥadīd	ẓannīt yadhūb min zafratī

14	lilṣṣabr mā ṭiqt al-rujū‘	walā lah ‘inday khabar
25	fāraqt hlī wal-rubū‘	al-lah yulhimnī al-ṣabar

al-ṣan‘ah. istihlāl. zajal
8	idhā mā shdá qumrī	azīd fī al-malīḥ ‘ishqā malaknī al-gharām ḥaqqā
8	alā fāisma‘ūā khabrī	mimmā fī al-ḥashā ḥurqá
