الصنعة 1  . اصبهان . زجل			
0	ألا يَا رَقِيبِي	عِشْقِي حَلال	
0	صَافِي عَجِيب	مَا فِيهِ خَبَال	
0	تَوْحِيدِي الـمُجِيب	اللَّهْ ذُو الجَلال	
			
0	هَذَا مَقْصِدِي	وهَذَا مَا كَان	
0	قُلَيْبِي الصَّدِي	سَكْنُوا مَا سَكَنْ	
			
الصنعة 2 . شغل ـ اصبهان . توشيح			
13	نَهْوَى مِنَ الغِزْلانْ	ظَبْيًا صَغِيرْ فتَّانْ	مَا لُه قَرِينْ
13	قَدْ أَسْحَرَ الأَذْهَانْ	وَالعَقْلَ وَالدِّيَانْ	وَالعَالَمِينْ
			
الصنعة 3  . اصبهان . توشيح مجزوء الخفيف			
4	أَنْتَ أَحْلَى  مِنَ المُنَى	وَمِنَ المَاءِ أَعْذَبُ	
4	أَنْتَ مِنْ كُلِّ طَيِّبٍ	طَابَ لِلنَّفْسِ أَطْيَبُ	
4	مَا تَرَى القَلْبَ يَلْتَفِتْ	عَنْ حَدِيثَكْ وَيُعْجَبُ	
			
4	قَدْ مَضَى العُمْرُ وَاسْتَوَى	مِنْ وَلُوعِي وَفِكْرَتِي	
4	يَا مُنَائِي مَا لِي دَوَا	إِلا وَصْلَكْ يَا بُغْيَتِي	
			
الصنعة 4 . شغل ـ اصبهان . زجل			
14	وَصْلَكْ  حَيَاتِي	وَجَنَّتِي وَنَعِيمِي	وَبَسَاتِينِي
14	سُرُورْ حَيَاتِي	وَرَوْضَتِي وَنَسِيمِي	وَرَيَاحِينِي
14	آلَة مَيَاتِي	وَمُنْشِدِي وَنَدِيمِي	وَسَوَاكِينِي
			
8	بَدْرٌ تَجَلَّى	شَمْسٌ عَلَيْهِ تَلُوحْ	قَدْ حَوَى الإْحْسَانْ
14	وَالنَّهْرُ يَجْرِي	وَالزَّهْرُ طِيبُهُ  يَفُوحْ	وَالمَلِيحْ فَتَّانْ
			
الصنعة 5 . شغل ـ اصبهان . زجل			
11	أَتَانِي مِنَ الخُلْدِ	غُزَيَّلْ مِنَ الكَوْثَرْ	
11	رِيقُهُ عَسَلْ شَهْدِ	ثَغْرُهُ مِنَ الجَوْهَرْ	
7	وَزَانُه  عَلَى الخَدِّ	نُقَيْطَة مِنَ العَنْبَرْ	
			
8	وَرْدَة ثَمَّ مَغْرُوسَة  	مِنْ شَقَائِقِ النُّعْمَانْ	
11	رَاهَا ثَمَّ مَحْرُوسَة	بصَوَارِمِ الأَجْفَانْ	
			
الصنعة 6 . شغل ـ اصبهان . زجل			
9	ابْتُلِيتْ بِعِشْقَهْ	عَنْ أَوَّلْ صِيَامِي	
9	وَنَتْعَبْ وَنَشْقَى	وَيَزْدَادْ غَرَامِي	
7	وَانْصِيحْ فِي الأَزِقَّة	مَنْ يَفْهَمْ كَلامِي	
			
4	مَا نَدْرِي مَا نْعْرَفْ	رَانِي فِي المَشِيَّا 	
9	وَرَبِّي بَلانِي	هُو يَعْفُو عَلَيَّا	
			
الصنعة 8 . زوركند . زجل للششتري			
4	يَا عَجْبِي فِيمَنْ يَكُنْ يَعْشَقْ	وَيَفْشِي لِلْعِبَادْ سِرُّه	
4	هَذَاكْ مِسْكِينْ يُوصَفْ أَحْمَقْ	وَظَنِّي مَا يَخْتَلِفْ أَمْرُه	
4	وَانَا جِسْمِي فَنَى وَرَقّْ	وَحِبِّي لَمْ أَجِدْ غَيْرُه	
			
4	تَجِدْنِي عِنْدَمَا يُذْكَرْ	وَتَشْعَلْ فِي القَلْبِ نِيرَانُه	
4	مَنْ يَهْوَى المَلْيحْ يَصْبَرْ	عَلَى صَدُّه وَهِجْرَانُه	
			
الصنعة 9 . شغل ـ اصبهان . زجل			
6	مَا احْلَى الرَّحِيقْ	مَا بَيْنَ الأَحْدَاقِ	
6	هَاجَ العشِيقْ	وَهَيَّجْ أَشْوَاقِي	
4	فَكُنْ لَبِيقْ	يَا أَيُّهَا السَّاقِي	
			
4	اِسْقِ المَلِيحْ جَهْدُه  	وَانْكِ الرَّقِيبْ وَحْدُه	
6	اللَّهُ الكَرِيمْ	يَتُوبْ عَلَى عَبْدُه	
			
الصنعة 11 . زوركند . زجل			
6	بِاللَّهِ يَا زَيْنَ الصِّغَارْ	كُفَّ الجَفَا	
6	أَشْعَلْتَ فِي قَلْبِي جِمَارْ	مَا تَنْطَفَا	
4	إِلَى مَتَى مِنْ ذَا النِّفَارْ	صَبْرِي عَفَا	
			
4	قُلْ لِي آشْ عَلَيَّ مِنْ حَسُوفْ	وَاشْ زَلَّتِي	
6	لاشْ يَا غَزَالِي مَا تَرُوفْ	عَنْ مِحْنَتِي	
			
الصنعة 12  . اصبهان . زجل			
4	أَسْتَغْفِرُ اللَّهَ يَا حَبِيبِي	فِيمَا جَرَى	
4	وَلا تُوَاخِذْنِي بِذُنُوبِي	يَا جَوْهَرَا	
4	هَلْ يَجْمَعُ اللَّهُ  شَمْلِي بِكُمْ	يَا مَنْ سَرَى	
			
6	يَا هَلْ تَرَى سَاعَةَ الوِصَالْ  	هَلْ سَتَعُودْ	
4	وَتَشْتَفِي مِنَ الكُحُولْ	عَيْنَانِ سُودْ	
