الصنعة 1 . شغل ـ اصبهان . زجل			
20	يَا كَوْكَبَ الأَحْلاكْ	قَلْبِي هَوَاكْ	
			
16	توشية		
			
12	هَوَاكَ يَا فَتَّانْ		
12	قَدْ حَيَّرَ الأَذْهَانْ		
12	بِاللَّهِ يَا سُلْطَانْ		
			
20	رِفْقًا بِمَنْ هَوَاكْ	وَدَعْ جَفَاكْ	
			
الصنعة 3  . تخليل بسيط ـ اصبهان . بسيط 			
0	لِلَّهِ شَخْصٌ  بَدِيعُ الحُسْنِ  فَتَّانٌ	صَاحٍ وَمِنْ نَشْوَةِ العَيْنَيْنِ سَكْرَانُ	
8	فِي خَدِّهِ الوَرْدُ  وَالسَّوْسَنُ  مُنْطَرِحٌ	وَالوَرْدُ مُبْتَسِمٌ  وَالآسُ غَضْبَانُ	
8	وخاله لم يزل في الخد يحرسه 	كأنه حبشي حضاه جنان	
			
الصنعة  . اصبهان . توشيح			
0	يَا صَاحِبَ العِذَارْ	فِي صُدْغِكَ الرَّقِيمْ	
0	آسٍ وَجُلَّنَارْ	فِي وَجْهِكَ الوَسِيمْ	
			
0	فَضَحْتَ بِالمُحَيَّا	بَدْرَ الدُّجَى المُنِيرْ	
0	وَالرِّيقُ لِلْحُمَيَّا	وَالنَّشْرُ لِلْعَبِيرْ	
0	وَالثَّغْرُ لِلثُّرَيَّا	وَالجِسْمُ مِنْ حَرِيرْ	
			
0	وَالظَّبْيُ لِلنِّفَارِ	وَالجِيدُ جِيدُ رِيمْ	
0	وَالغُصْنُ لِلثِّمَارِ	مِنْ قَدِّكَ القَوِيمْ	
			
الصنعة 9 . اصبهان . قصيدة. بسيط			
16	اُنْظُرْ إِلَى قَدِّهِ كَالغُصْنِ مُعْتَدِلا	وَانْظُرْ إِلَى وَجْهِهِ كَالبَدْرِ إِذْ كَمُلا	
16	اُنْظُرْ إِلَى ثَغْرِهِ تَبْصُرْ سَنَا ذَهَبٍ	وَانْظُرْ إِلَى لَحْظِهِ كَمْ عَاشِقٍ قَتَلا	
			
الصنعة 4 . شغل ـ اصبهان . قصيدة. مخلع البسيط  			
48	وَجَّهْتُ  ذُلِّي لَكُمْ  شَفِيعًا	وَجِئْتُكُمْ  سَامِعا  مُطِيعَا	
48	يَا سَادَتِي  اِرْحَمُوا خُضُوعِي	بِفَضْلِكُمْ وَاجْبُرُوا  الصَّدِيعَا	
			
الصنعة 18 . شغل ـ اصبهان ورمل الماية . خفيف			
18	يَا سَادَتِي بِفَضْلِكُمْ اِرْحَمُونِي		
			
20	توشية		
			
19	إِنَّ عَهْدِي بِكُمْ وَثِيقٌ وَوُدِّي		
			
الصنعة 19 . شغل ـ اصبهان . قصيدة. منسرح			
34	مَا كُنْتُ أَدْرِي مَا الحُبُّ لَوْلاكُمُ	عَلَّمْتُمُونِي مِنْ طِيبِ مَعْنَاكُمُ	
34	أَنْتُمْ فِي قَلْبِي وَذِكْرُكُمْ فِي فَمِي	فَكَيْفَ أَسْلُو أَمْ كَيْفَ أَنْسَاكُمُ	
			
الصنعة 20 . رمل الماية . زجل			
6	يَا مَنْ مَلَكْنِي عَبْدَا	مِنْ غَيْرِ شِينْ وَرَا	
8	اعْلاشْ قَلْبْكْ تَعَدَّى	عَنْ هَا وَجِيمْ وَرَا	
			
4	عَذَّبْتَنِي سِنِينَا	مِنْ تَا وَجِيمْ وَنُونْ	
4	وَزِدْتَنِي فُتُونَا	فِي القَلْبِ مِنْ عُيُونْ	
4	خَلَّيْتَنِي مُهِينَا	أَجْرَعْ كَأْسَ المَنُونْ	
			
6	وَقَلْبِي قَدْ تَقَدَّا	مِنْ شِينْ وَفَا وَرَا	
